voice4	voice3	voice2	voice1	harm	beat	meter	onset_strength	beat_strength	LABEL	similarity
2r	4e-/	16g/	2.gg\]	i	3.25	M4/4	1.0	off beat	0.0	1.0
2r	4e-/	16g/	2.gg\]	i	3.5	M4/4	0.0	off beat	0.0	1.0
2r	4e-/	16g/JJ	2.gg\]	i	3.75	M4/4	0.0	off beat	0.0	0.0
2r	4Bn/	16dd\LL	4ff\	V65	4	M4/4	3.0	weak beat	1.0	0.6666666666666666
2r	4Bn/	16g\	4ff\	V65	4.25	M4/4	1.0	off beat	0.0	1.0
2r	4Bn/	16g\	4ff\	V65	4.5	M4/4	0.0	off beat	0.0	1.0
2r	4Bn/	16g\JJ	4ff\	V65	4.75	M4/4	0.0	off beat	0.0	0.0
16c\LL	[1c	[1cc	[1ee-	i	1	M4/4	3.0	strong beat	1.0	0.8
16G\	[1c	[1cc	[1ee-	i	1.25	M4/4	1.0	off beat	0.0	1.0
16G\	[1c	[1cc	[1ee-	i	1.5	M4/4	0.0	off beat	0.0	1.0
16G\JJ	[1c	[1cc	[1ee-	i	1.75	M4/4	0.0	off beat	0.0	1.0
16G\LL	[1c	[1cc	[1ee-	i	2	M4/4	0.0	weak beat	0.0	0.8
16E-\	[1c	[1cc	[1ee-	i	2.25	M4/4	1.0	off beat	0.0	1.0
16E-\	[1c	[1cc	[1ee-	i	2.5	M4/4	0.0	off beat	0.0	1.0
16E-\JJ	[1c	[1cc	[1ee-	i	2.75	M4/4	0.0	off beat	0.0	1.0
16E-\LL	[1c	[1cc	[1ee-	i	3	M4/4	0.0	strong beat	0.0	1.0
16C\	[1c	[1cc	[1ee-	i	3.25	M4/4	1.0	off beat	0.0	1.0
16C\	[1c	[1cc	[1ee-	i	3.5	M4/4	0.0	off beat	0.0	1.0
16C\JJ	[1c	[1cc	[1ee-	i	3.75	M4/4	0.0	off beat	0.0	1.0
16C/LL	[1c	[1cc	[1ee-	i	4	M4/4	0.0	weak beat	0.0	0.8
16AA-/	[1c	[1cc	[1ee-	-VI	4.25	M4/4	1.0	off beat	1.0	1.0
16AA-/	[1c	[1cc	[1ee-	-VI	4.5	M4/4	0.0	off beat	0.0	1.0
16AA-/JJ	[1c	[1cc	[1ee-	-VI	4.75	M4/4	0.0	off beat	0.0	1.0
2.AA-/	8c/L]	8cc/L]	8ee-\L]	-VI	1	M4/4	0.0	strong beat	0.0	0.8571428571428571
2.AA-/	8c/	8f#/	16ee-\L	Gr	1.5	M4/4	1.0	off beat	1.0	0.75
2.AA-/	8c/	8f#/	16dd\JJ	Gr	1.75	M4/4	1.0	off beat	0.0	0.75
2.AA-/	8c/	8f#/	16ee-\LL	Gr	2	M4/4	1.0	weak beat	0.0	0.75
2.AA-/	8c/	8f#/	16dd\	Gr	2.25	M4/4	1.0	off beat	0.0	0.75
2.AA-/	8c/J	8f#/J	16ee-\	Gr	2.5	M4/4	1.0	off beat	0.0	0.75
2.AA-/	8c/J	8f#/J	16dd\JJ	Gr	2.75	M4/4	1.0	off beat	0.0	0.75
2.AA-/	8c/L	8f#/L	4ee-\	Gr	3	M4/4	1.0	strong beat	0.0	1.0
2.AA-/	8c/	8f#/	4ee-\	Gr	3.5	M4/4	0.0	off beat	0.0	0.8571428571428571
4A-\	8c/	8f#/	4c/	Gr	4	M4/4	1.0	weak beat	0.0	1.0
